datetime,moisture0,moisture1,moisture2,moisture3,moisture4,irrgation,source_file
2020-03-11 14:44:39,0.59,0.63,0.51,0.45,0.01,False,plant_vase2.CSV
2020-03-11 14:47:09,0.56,0.6,0.52,0.48,0.01,False,plant_vase2.CSV
2020-03-11 14:49:39,0.56,0.54,0.54,0.51,0.01,False,plant_vase2.CSV
2020-03-11 14:52:09,0.56,0.5,0.57,0.51,0.01,False,plant_vase2.CSV
2020-03-11 14:54:39,0.57,0.53,0.58,0.51,0.01,False,plant_vase2.CSV
2020-03-11 14:57:09,0.56,0.45,0.58,0.51,0.01,False,plant_vase2.CSV
2020-03-11 14:59:40,0.56,0.46,0.58,0.51,0.01,False,plant_vase2.CSV
2020-03-11 15:02:10,0.56,0.43,0.58,0.51,0.01,False,plant_vase2.CSV
2020-03-11 15:04:40,0.56,0.44,0.59,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:07:10,0.53,0.43,0.58,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:09:40,0.54,0.44,0.57,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:12:10,0.51,0.42,0.57,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:14:41,0.53,0.48,0.54,0.47,0.01,False,plant_vase2.CSV
2020-03-11 15:17:11,0.51,0.49,0.55,0.47,0.01,False,plant_vase2.CSV
2020-03-11 15:19:41,0.78,0.49,0.54,0.46,0.01,False,plant_vase2.CSV
2020-03-11 15:22:11,0.83,0.65,0.58,0.49,0.01,False,plant_vase2.CSV
2020-03-11 15:24:41,0.83,0.66,0.56,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:27:11,0.84,0.68,0.56,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:29:42,0.84,0.67,0.57,0.5,0.0,False,plant_vase2.CSV
2020-03-11 15:32:12,0.84,0.67,0.56,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:34:42,0.84,0.67,0.55,0.5,0.01,False,plant_vase2.CSV
2020-03-11 15:37:12,0.84,0.7,0.56,0.48,0.01,False,plant_vase2.CSV
2020-03-11 15:39:42,0.83,0.68,0.55,0.48,0.01,False,plant_vase2.CSV
2020-03-11 15:42:12,0.84,0.7,0.56,0.48,0.01,False,plant_vase2.CSV
